cpf|nome|data_nascimento|sexo|convenio|logradouro|numero|bairro|cidade|estado|data_cadastro|pais_cadastro
92753108404|Luiz Otávio Correia|17/09/1976|Masc|AMIL|Vila Leandro da Cruz|488.0|Ernesto Nascimento|da Rocha Alegre|PE|1987-08-22 00:13:18|Br
39156284764|Lavínia Mendes|26/03/2019|Fem|AMIL|Residencial Julia Freitas|262.0|Conjunto Jardim Filadélfia|Ribeiro|AP|1976-03-12 03:37:18|Br
78352419005|Rebeca Cardoso|17/12/1976|Fem|AMIL|Passarela Araújo|987.0|Cruzeiro|da Rosa|BA|2019-10-24 03:02:43|Br
86357109401|Bryan Lopes|20/12/1984|Masc|AMIL|Aeroporto Pietra Dias|118.0|Mirante|Almeida de Goiás|PA|2014-11-02 12:04:57|Br
89047135288|Heitor Gomes|11/12/1992|Masc|AMIL|Campo Caldeira|817.0|Santa Monica|Cunha|SC|1973-08-03 06:25:47|Br
71809546320|Emanuel Monteiro|27/02/2018|Masc|AMIL|Aeroporto Carolina Vieira|925.0|Tupi B|Almeida|RS|2016-10-06 10:46:23|Br
16239074543|Guilherme da Rosa|10/10/1995|Masc|AMIL|Pátio Peixoto|714.0|Conjunto Califórnia Ii|da Rosa|RS|2004-06-05 14:59:14|Br
31682749096|Arthur das Neves|21/08/2022|Masc|AMIL|Fazenda de Costa|643.0|Universitário|da Paz Grande|PI|1991-03-28 18:02:00|Br
23719458628|Danilo Rodrigues|22/02/2003|Masc|AMIL|Sítio João Pedro Nogueira|971.0|Vila Jardim Montanhes|Dias|RS|2021-10-16 10:50:33|Br
98671053202|João das Neves|12/08/2001|Masc|AMIL|Vale Paulo Farias|323.0|Belmonte|Cunha dos Dourados|AM|1979-01-30 12:28:03|Br
85324176982|Davi Lucas Duarte|12/01/2020|Masc|AMIL|Conjunto Milena Cunha|117.0|Cidade Jardim Taquaril|Moraes de Porto|PI|1992-07-29 02:46:15|Br
73562894074|Caroline Rezende|06/01/2009|Fem|AMIL|Quadra Nicole Barros|44.0|Flavio De Oliveira|da Mata da Praia|CE|2008-10-17 21:36:19|Br
15934672819|Ryan Costa|31/12/1989|Masc|AMIL|Trevo João Miguel Novaes|984.0|Santo Agostinho|Almeida do Amparo|CE|1998-11-13 17:39:08|Br
81573942600|Antônio Correia|13/07/2016|Masc|AMIL|Conjunto Duarte|127.0|Vila Mantiqueira|Sales Grande|PE|2014-01-06 02:28:20|Br
37284159014|Cauã Oliveira|07/06/2015|Masc|AMIL|Colônia Novaes|19.0|Vila Boa Vista|Silva|CE|1972-02-04 16:00:38|Br
34765210952|Lorenzo Campos|10/03/2002|Masc|AMIL|Favela Calebe Moreira|533.0|Pompéia|Novaes de Moura|AM|1978-08-10 15:04:43|Br
41539062716|Dr. Gustavo Henrique Moraes|30/10/1988|Masc|AMIL|Fazenda de Souza|832.0|Ermelinda|da Conceição|RS|2018-08-08 12:20:07|Br
15907824379|Kaique Fernandes|19/03/1978|Masc|AMIL|Rodovia de Viana|177.0|Olaria|Oliveira|MT|1979-02-04 20:30:04|Br
45219836005|Davi Luiz da Conceição|19/02/1977|Masc|AMIL|Viela de Barros|951.0|Mala E Cuia|da Conceição da Prata|CE|1990-10-17 19:46:17|Br
50481762949|Sr. Murilo da Mota|17/02/2011|Masc|AMIL|Pátio Moreira|336.0|Aeroporto|Pires|AL|2006-07-17 05:14:26|Br
06732918559|Dr. Noah Moura|08/12/1994|Masc|AMIL|Trevo Campos|104.0|Mariquinhas|da Cunha|CE|1973-04-04 01:52:36|Br
62048173535|Ian Barbosa|30/05/2007|Masc|AMIL|Sítio de Rezende|549.0|Vila Nova Gameleira 1ª Seção|Cavalcanti|BA|2009-11-18 16:21:05|Br
83025617977|Giovanna Nunes|02/02/2013|Fem|AMIL|Travessa de Pinto|422.0|Santa Tereza|Sales|RR|2001-10-24 00:04:25|Br
14902583704|Larissa Nunes|01/09/1971|Fem|AMIL|Condomínio de Sales|585.0|Mirtes|Caldeira do Campo|GO|2017-08-18 08:10:15|Br
51709384204|João Miguel Aragão|13/02/2004|Masc|AMIL|Loteamento Correia|716.0|Boa Vista|da Conceição|TO|2010-09-05 01:19:01|Br
03651479234|João Vitor Jesus|17/05/1985|Masc|AMIL|Chácara de Barbosa|773.0|Vila Califórnia|Pires|AL|2014-05-01 20:05:53|Br
89567143200|Isabelly Teixeira|06/10/2012|Fem|AMIL|Conjunto Souza|761.0|Camponesa 2ª Seção|Castro do Amparo|AP|1997-04-29 17:21:02|Br
05217469811|Igor Ribeiro|05/05/1990|Masc|AMIL|Passarela de Correia|868.0|Vila Aeroporto Jaraguá|Rezende do Norte|MT|1998-10-30 20:32:14|Br
42850793647|Sr. Vitor Hugo Fogaça|09/06/2006|Masc|AMIL|Praça de Freitas|419.0|Mirtes|Cardoso|ES|1994-08-01 18:00:33|Br
15968073268|Lorenzo Nascimento|18/09/2008|Masc|AMIL|Lago Pedro Lucas Novaes|199.0|Ventosa|Fogaça|CE|2013-11-11 09:25:28|Br
64153029734|Arthur Cardoso|03/02/2000|Masc|AMIL|Avenida Carolina Costela|608.0|Olhos D'água|Moreira Alegre|CE|1997-01-16 20:24:09|Br
13482759014|Brenda da Costa|08/02/2022|Fem|AMIL|Trecho de Correia|511.0|Xangri-Lá|Mendes de da Mata|PB|2011-07-31 23:54:43|Br
84936712582|Luiz Miguel Freitas|31/03/2006|Masc|AMIL|Jardim de Costa|392.0|Beira Linha|Martins|RJ|1987-12-07 04:16:10|Br
46280591794|Otávio Azevedo|14/05/1981|Masc|AMIL|Passarela Ana Beatriz da Paz|561.0|Santa Helena|Jesus|BA|1970-07-07 12:29:26|Br
42903685738|Samuel Silva|10/10/1992|Masc|AMIL|Loteamento Lucas Gabriel da Rosa|965.0|Bonfim|da Rocha|AC|1981-05-07 15:38:50|Br
13452897079|Maria Clara Rezende|28/12/1991|Fem|AMIL|Setor Yasmin Farias|757.0|Flamengo|Gomes da Praia|PI|2016-12-24 13:59:47|Br
61483592006|Sofia Caldeira|29/01/1993|Fem|AMIL|Avenida Davi Cunha|355.0|Cinquentenário|Porto|CE|2010-06-05 08:31:29|Br
53718902621|Davi Araújo|31/03/1980|Masc|AMIL|Morro Vitor Hugo Rodrigues|203.0|Dom Cabral|Cardoso do Oeste|RR|1976-01-24 15:34:46|Br
69210857402|Fernando Mendes|15/02/2010|Masc|AMIL|Passarela da Costa|457.0|Vila Mantiqueira|Nogueira|AC|1998-06-06 13:30:23|Br
08372641978|Samuel da Cruz|09/07/1978|Masc|AMIL|Quadra Carvalho|752.0|Tupi A|Novaes|MA|1996-11-11 22:19:31|Br
09123675470|Arthur da Mata|31/01/1973|Masc|AMIL|Chácara de Lopes|224.0|Santana Do Cafezal|Aragão|MT|2010-08-18 10:57:49|Br
08421657976|Enzo Gabriel Souza|18/07/2017|Masc|AMIL|Vereda Silva|633.0|Trevo|Castro|MA|2006-03-26 18:12:16|Br
64352187909|Cauã Viana|17/04/1987|Masc|AMIL|Loteamento Daniel Correia|324.0|Vila Real 1ª Seção|Silva|MG|2013-02-27 04:41:55|Br
41270695380|Srta. Bianca das Neves|04/03/1988|Fem|AMIL|Travessa da Rosa|397.0|Santo André|Alves de Cunha|PA|2004-10-26 06:07:31|Br
73408952132|Kevin Aragão|21/10/2010|Masc|AMIL|Estrada Cavalcanti|547.0|Vitoria|da Cunha de Almeida|MT|2008-11-11 11:12:35|Br
56079182386|Sr. Pedro da Cunha|19/07/1985|Masc|AMIL|Praia Marcos Vinicius Moura|852.0|São Gonçalo|Farias do Norte|CE|1985-01-23 01:27:15|Br
03419752652|Kamilly Pires|21/11/1986|Fem|AMIL|Colônia Henrique da Paz|872.0|Vila Vista Alegre|Dias|CE|1979-03-09 18:14:47|Br
37091285603|Sabrina Nunes|14/12/2006|Fem|AMIL|Favela João Lucas Costela|491.0|Barão Homem De Melo 1ª Seção|Alves|MS|2022-11-16 03:41:36|Br
37108946548|Fernanda Monteiro|25/08/2014|Fem|AMIL|Viaduto Ramos|501.0|Vila Jardim Montanhes|Ferreira|AP|1995-04-18 08:11:53|Br
95268301489|Stella Alves|04/07/1989|Fem|AMIL|Esplanada Moraes|298.0|Maria Tereza|Silva dos Dourados|GO|2013-01-25 07:13:42|Br
16807453957|Gustavo Henrique Novaes|10/02/1974|Masc|AMIL|Morro Sarah Azevedo|930.0|Maravilha|Mendes da Serra|MG|1994-04-09 23:08:10|Br
71890436593|Vitor Moura|31/08/1987|Masc|AMIL|Ladeira Peixoto|451.0|Vila Nova Cachoeirinha 2ª Seção|da Conceição|SC|2010-01-09 08:59:10|Br
39175024616|Ian da Paz|05/04/1971|Masc|AMIL|Lago de da Luz|498.0|Araguaia|Souza de Pinto|PE|1990-06-01 20:38:35|Br
64879123528|Benício Farias|09/02/1990|Masc|AMIL|Lagoa de Silva|610.0|Paquetá|Teixeira de Azevedo|DF|1987-06-10 12:24:24|Br
65180247390|Isabel Ribeiro|11/03/1994|Fem|AMIL|Distrito Bianca Moura|885.0|Minas Caixa|da Luz|AP|2018-04-29 02:13:17|Br
89201456794|Thomas Novaes|02/03/2002|Masc|AMIL|Avenida de Mendes|801.0|Vila Coqueiral|Cardoso de Almeida|PE|2006-02-10 15:16:36|Br
91278453628|Sr. Thomas Rezende|05/01/2023|Masc|AMIL|Travessa de Silveira|207.0|Vila Nova Cachoeirinha 2ª Seção|Monteiro|PB|2007-01-21 06:47:22|Br
38216497555|Francisco Freitas|05/02/2013|Masc|AMIL|Quadra de Santos|722.0|Boa União 2ª Seção|Campos|BA|1971-02-08 04:56:17|Br
72910368521|Sr. Gabriel Gonçalves|22/06/2011|Masc|AMIL|Ladeira Nascimento|451.0|Maria Tereza|Cavalcanti da Serra|PE|1980-04-14 09:42:49|Br
40391576216|Lucca Nogueira|05/08/2003|Masc|AMIL|Rodovia Pedro Miguel da Cruz|857.0|Biquinhas|Freitas de Silva|MG|1993-08-18 15:43:17|Br
51203897677|Miguel Moraes|23/05/2013|Masc|AMIL|Via Ana Pinto|198.0|Vila Ipiranga|Lopes Alegre|SP|2008-08-03 13:07:40|Br
98423607500|Pedro Miguel Moraes|26/12/1992|Masc|AMIL|Conjunto Peixoto|234.0|Vila Nova Dos Milionarios|Moura|SP|1992-12-11 13:16:07|Br
69457831209|Davi da Rosa|05/11/1980|Masc|AMIL|Trecho Davi Luiz Aragão|63.0|São Jorge 3ª Seção|Fernandes Paulista|GO|1974-10-04 13:54:07|Br
08194562333|Joana da Costa|10/02/2007|Fem|AMIL|Chácara Luiz Miguel da Mota|381.0|Oeste|da Paz de Rodrigues|SC|1995-12-04 17:32:23|Br
93027146599|João Guilherme Costa|17/01/2010|Masc|AMIL|Estação Correia|187.0|São Sebastião|da Cruz|SP|1992-03-04 16:37:27|Br
71293564800|Lorena Araújo|04/04/2011|Fem|AMIL|Vale Cavalcanti|94.0|Vila Santa Rosa|Jesus de Goiás|AP|2019-06-10 20:33:17|Br
70329651803|Luiz Henrique Silveira|17/12/2009|Masc|AMIL|Viela Sofia da Luz|373.0|Apolonia|Lima de Cardoso|PI|1981-05-10 19:23:30|Br
91587460300|João Pinto|18/08/2013|Masc|AMIL|Favela de Ramos|559.0|Venda Nova|Almeida do Norte|AL|2012-09-28 10:35:13|Br
17264308553|Ana Carolina Fogaça|13/09/1971|Fem|AMIL|Loteamento Sales|959.0|Vila Trinta E Um De Março|Cardoso|AP|2022-01-17 16:38:12|Br
95247683056|Esther Moraes|22/01/2012|Fem|AMIL|Travessa de Monteiro|570.0|Canadá|Duarte de Melo|MS|1980-01-01 17:28:16|Br
73685491075|Ryan Teixeira|28/12/2014|Masc|AMIL|Lago de Jesus|644.0|São Marcos|Alves dos Dourados|GO|1985-11-25 12:20:10|Br
28796034556|Joana Pinto|21/11/2008|Fem|AMIL|Jardim de Peixoto|32.0|Nova Cintra|Melo do Norte|PA|2014-08-04 08:05:19|Br
46710895300|Laís Aragão|30/01/1993|Fem|AMIL|Praça de Almeida|191.0|Cachoeirinha|da Luz|DF|2002-10-19 20:28:58|Br
34598170204|Ana Sophia Oliveira|24/01/2002|Fem|AMIL|Vila Bernardo Almeida|702.0|Renascença|Rodrigues|PB|2008-08-27 20:00:46|Br
02869354142|Marcela Pires|01/02/2023|Fem|AMIL|Condomínio Juliana Ramos|447.0|Planalto|da Luz|RR|1976-04-15 11:00:53|Br
91385047666|Dr. Pedro Miguel Gomes|04/11/1997|Masc|AMIL|Área Diogo Nascimento|686.0|Vila Real 1ª Seção|Costela da Serra|AC|2009-11-06 16:11:08|Br
36428170922|Raquel Cavalcanti|02/07/1979|Fem|AMIL|Pátio Moraes|691.0|Vila Aeroporto|Monteiro Paulista|RO|1979-04-30 14:10:57|Br
84659270300|João Costela|19/11/2018|Masc|AMIL|Passarela Carlos Eduardo Oliveira|532.0|Vila Ecológica|Campos de Santos|ES|2009-07-12 11:15:28|Br
59147862076|Fernando Sales|13/08/2019|Masc|AMIL|Trecho de Almeida|426.0|Pompéia|Ribeiro de Oliveira|MT|2008-06-22 05:22:16|Br
14692387564|Maitê Teixeira|29/12/2012|Fem|AMIL|Passarela Davi Lucca da Paz|276.0|Vila Da Paz|Lima|RO|1976-06-24 17:26:15|Br
87125609449|Pietro Farias|13/07/2006|Masc|AMIL|Recanto Nunes|470.0|Cidade Jardim Taquaril|Costela|PB|1994-09-09 15:21:49|Br
06572184994|Ana Júlia Barros|29/07/2013|Fem|AMIL|Lago Vitor Gabriel Moura|954.0|Esperança|Farias de Farias|BA|1978-09-20 16:56:42|Br
40736958274|Luiz Otávio Dias|20/05/2019|Masc|AMIL|Estrada Caldeira|614.0|Jaraguá|Gonçalves|PI|1998-09-29 01:12:47|Br
20689135424|Sophia Cardoso|22/11/1985|Fem|AMIL|Fazenda Azevedo|984.0|Santa Amelia|da Rocha|GO|1977-08-09 17:29:30|Br
23564081771|Dr. Daniel da Cunha|14/11/2010|Masc|AMIL|Vale de Silva|458.0|Ápia|Ramos da Serra|MA|1974-02-22 08:39:35|Br
46523897010|Luigi Jesus|30/05/2003|Masc|AMIL|Travessa de Costa|780.0|Diamante|da Rocha do Norte|RO|2013-12-11 06:16:04|Br
83576940120|Laura Almeida|06/12/1999|Fem|AMIL|Setor de Peixoto|301.0|Garças|Campos|CE|2015-12-24 04:57:40|Br
26095147352|Rodrigo Correia|30/07/1984|Masc|AMIL|Vila Milena Caldeira|842.0|Distrito Industrial Do Jatoba|da Paz|ES|2007-03-05 03:07:22|Br
